id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
smartrecruiters:GDMSI:744000147269170,General Dynamics UK,Co-op January 2027 - Software Engineering - 8 Months,Winter 2027,False,,Co-op,,Software,"Ottawa, ON, Canada (Hybrid)",unknown,,,Python; Java; C++; C#; Kotlin; Bash; Kubernetes; Docker,2026-09-03T14:18:56.981Z,exact,2026-09-03T19:49:36Z,https://jobs.smartrecruiters.com/GDMSI/744000147269170
greenhouse:internshiplist2000:5376578008,Geotab,"Software Developer Intern, Geotab Vitality (Winter/January 2027, 4 Months)",Winter 2027,False,,Internship,,Software,"Oakville, Ontario - Canada; Toronto, Ontario - Canada; Waterloo, Ontario - Canada",unknown,,,C#; TypeScript; JavaScript; SQL; React; Angular; HTML/CSS; .NET,2026-09-03T15:09:15-04:00,exact,2026-09-03T19:49:36Z,https://job-boards.greenhouse.io/internshiplist2000/jobs/5376578008
greenhouse:waterloocoop:6180264004,PlayStation,Software Developer Co-op - Build & Tools,Not stated,True,,Co-op,,Software,"Canada, Waterloo, ON",unknown,,,Vue,2026-09-03T15:39:41-04:00,exact,2026-09-03T19:49:36Z,https://job-boards.greenhouse.io/waterloocoop/jobs/6180264004
workday:globalhr:/job/CA-QC-LONGUEUIL-J01--1000-Blvd-Marie-Victorin--J01-BLDG/Stage---Hiver-2027---Analyste-de-donnes--Services-de-pices-de-rechange---Internship---Winter-2027---Data-Analyst--Spare-Parts-Services_01872182,RTX,"Stage - Hiver 2027 - Analyste de données, Services de pièces de rechange / Internship - Winter 2027 - Data Analyst, Spare Parts Services",Winter 2027,False,,Internship,,Data & ML/AI,CA-QC-LONGUEUIL-J01 ~ 1000 Blvd Marie-Victorin ~ J01 BLDG,unknown,,,Python,2026-09-03T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/CA-QC-LONGUEUIL-J01--1000-Blvd-Marie-Victorin--J01-BLDG/Stage---Hiver-2027---Analyste-de-donnes--Services-de-pices-de-rechange---Internship---Winter-2027---Data-Analyst--Spare-Parts-Services_01872182
workday:globalhr:/job/CA-QC-LONGUEUIL-J01--1000-Blvd-Marie-Victorin--J01-BLDG/Stage---Hiver-2027---Analyste-systmes-d-affaires-et-transformation---Internship---Winter-2027---Analyst-Business-Systems-and-Transformation_01869327,RTX,Stage - Hiver 2027 -  Analyse avancée projet d'évolution de l'IA  / Internship - Winter 2027 - Advanced Analytics AI Evolution Project,Winter 2027,False,,Internship,,Data & ML/AI,CA-QC-LONGUEUIL-J01 ~ 1000 Blvd Marie-Victorin ~ J01 BLDG,unknown,,,Python; Tableau,2026-09-03T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/CA-QC-LONGUEUIL-J01--1000-Blvd-Marie-Victorin--J01-BLDG/Stage---Hiver-2027---Analyste-systmes-d-affaires-et-transformation---Internship---Winter-2027---Analyst-Business-Systems-and-Transformation_01869327
workday:globalhr:/job/CA-QC-LONGUEUIL-J01--1000-Blvd-Marie-Victorin--J01-BLDG/Stage---Hiver-2027---Soutien-aux-equipes-HEP--hybrid-electric-propulsion--Soutien-aux-publications-techniques-des-moteurs-avances---Internship---Winter-2027--HEP--Hybrid-Electric-propulsion--Advanced-Aerospace-Engine-Technical-Publication-Developer_01865619,RTX,Stage - Hiver 2027 - Soutien aux equipes HEP (hybrid-electric propulsion) Soutien aux publications techniques des moteurs avances / Internship - Winter 2027- HEP (Hybrid-Electric propulsion) Advanced Aerospace Engine Technical Publication Developer,Winter 2027,False,,Internship,,Software,CA-QC-LONGUEUIL-J01 ~ 1000 Blvd Marie-Victorin ~ J01 BLDG,unknown,,,,2026-09-03T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://globalhr.wd5.myworkdayjobs.com/rec_rtx_ext_gateway/job/CA-QC-LONGUEUIL-J01--1000-Blvd-Marie-Victorin--J01-BLDG/Stage---Hiver-2027---Soutien-aux-equipes-HEP--hybrid-electric-propulsion--Soutien-aux-publications-techniques-des-moteurs-avances---Internship---Winter-2027--HEP--Hybrid-Electric-propulsion--Advanced-Aerospace-Engine-Technical-Publication-Developer_01865619
workday:flir:/job/Canada---Concord-ON-TDY/LiDAR-Data-Analyst--Co-op-_REQ36378,Teledyne,LiDAR Data Analyst (Co-op),Not stated,True,,Co-op,,Data & ML/AI,"Canada - Concord, ON (TDY)",unknown,,,Python; C++; MATLAB,2026-09-03T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://flir.wd1.myworkdayjobs.com/flircareers/job/Canada---Concord-ON-TDY/LiDAR-Data-Analyst--Co-op-_REQ36378
oracle:fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com:39342,Nokia,Software Tester – Co-op/Intern,Winter 2027,False,,Internship / Co-op,,Software,Canada,unknown,,,Python; Java; JavaScript; SQL; Linux; PostgreSQL; Selenium,2026-09-02,date_only,2026-09-03T19:49:36Z,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/39342
oracle:fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com:39432,Nokia,Software Applications Co-op/Intern,Winter 2027,False,,Internship / Co-op,,Software,Canada,unknown,,,Java; Kubernetes; Linux,2026-09-02,date_only,2026-09-03T19:49:36Z,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/39432
oracle:fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com:39435,Nokia,Software Developer Co-op/Intern,Winter 2027,False,,Internship / Co-op,,Software,Canada,unknown,,,Java; Kubernetes; Docker; Linux; Git,2026-09-02,date_only,2026-09-03T19:49:36Z,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/39435
oracle:fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com:39237,Nokia,DSP Firmware Engineering Co-op/Intern,Winter 2027,False,,Internship / Co-op,,Hardware,Canada,unknown,,,C++; Git,2026-09-02,date_only,2026-09-03T19:49:36Z,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/39237
workday:cae:/job/Montreal-St-Laurent/C-FIN-275-Software-Engineering-Intern--AI--Automation-and-Business-Intelligence_123477-1,CAE,"C-FIN-275 Software Engineering Intern, AI, Automation and Business Intelligence",Winter 2027,False,,Internship,,Data & ML/AI,Montreal (St. Laurent),unknown,,,Azure,2026-09-02T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://cae.wd3.myworkdayjobs.com/career/job/Montreal-St-Laurent/C-FIN-275-Software-Engineering-Intern--AI--Automation-and-Business-Intelligence_123477-1
workday:cae:/job/Montreal-St-Laurent/C-IT-200-Product-Cybersecurity-Specialist-Intern_123542,CAE,C-IT-200 Product Cybersecurity Specialist Intern,Winter 2027,False,,Internship,,Security,Montreal (St. Laurent),unknown,,,Linux,2026-09-02T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://cae.wd3.myworkdayjobs.com/career/job/Montreal-St-Laurent/C-IT-200-Product-Cybersecurity-Specialist-Intern_123542
smartrecruiters:GDMSI:744000147019949,General Dynamics UK,Co-op Winter 2027 - Software Developer - 8 Months,Winter 2027,False,,Co-op,,Software,"Ottawa, ON, Canada (Hybrid)",unknown,,,Python; Java,2026-09-02T15:00:34.788Z,exact,2026-09-03T19:49:36Z,https://jobs.smartrecruiters.com/GDMSI/744000147019949
smartrecruiters:GDMSI:744000146985399,General Dynamics UK,Co-op Winter 2027 - Software Engineering Developer - 16-Months,Winter 2027,False,,Co-op,,Software,"Calgary, AB, Canada (Hybrid)",unknown,,,,2026-09-02T13:08:04.021Z,exact,2026-09-03T19:49:36Z,https://jobs.smartrecruiters.com/GDMSI/744000146985399
workday:generalmotors:/job/Oshawa-Elevation-Centre---Oshawa-Elevation-Centre/XMLNAME-2027-Winter-Co-op-Body-Controls-Calibration-and-System-Test-Developer_JR-202618823,General Motors,2027 Winter Co-op Body Controls Calibration and System Test Developer,Winter 2027,False,,Co-op,,Software,Oshawa Elevation Centre - Oshawa Elevation Centre,unknown,928,,Python; MATLAB; Git,2026-09-02T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://generalmotors.wd5.myworkdayjobs.com/Careers_GM/job/Oshawa-Elevation-Centre---Oshawa-Elevation-Centre/XMLNAME-2027-Winter-Co-op-Body-Controls-Calibration-and-System-Test-Developer_JR-202618823
workday:generalmotors:/job/Markham-Ontario-Canada/XMLNAME-2027-Winter-Co-op-Mechatronic-Infrastructure-Diagnostic-Systems_JR-202618915,General Motors,2027 Winter Co-op Mechatronic Infrastructure Diagnostic Systems,Winter 2027,False,,Co-op,,Software,"Markham, Ontario, Canada",unknown,928,,Python; Git,2026-09-02T00:00:00Z,date_only,2026-09-03T19:49:36Z,https://generalmotors.wd5.myworkdayjobs.com/Careers_GM/job/Markham-Ontario-Canada/XMLNAME-2027-Winter-Co-op-Mechatronic-Infrastructure-Diagnostic-Systems_JR-202618915
greenhouse:internshiplist2000:5324252008,Geotab,"Data Analyst Intern (Winter/January 2027, 8+ Months)",Winter 2027,False,,Internship,,Data & ML/AI,"Oakville, Ontario - Canada; Toronto, Ontario - Canada",unknown,,,Python; SQL; Tableau,2026-09-02T09:10:04-04:00,exact,2026-09-03T19:49:36Z,https://job-boards.greenhouse.io/internshiplist2000/jobs/5324252008
greenhouse:internshiplist2000:5383410008,Geotab,"Data Scientist Intern (Winter/January 2027, 4-8 Months)",Winter 2027,False,,Internship,,Data & ML/AI,"Oakville, Ontario - Canada; Toronto, Ontario - Canada",unknown,,,Python; SQL,2026-09-02T09:19:47-04:00,exact,2026-09-03T19:49:36Z,https://job-boards.greenhouse.io/internshiplist2000/jobs/5383410008
greenhouse:internshiplist2000:5380567008,Geotab,"Hardware Developer Intern (Summer/May 2027, 12 Months)",Summer 2027,False,,Internship,,Hardware,"Oakville, Ontario - Canada",unknown,,,,2026-09-02T09:26:01-04:00,exact,2026-09-03T19:49:36Z,https://job-boards.greenhouse.io/internshiplist2000/jobs/5380567008
greenhouse:internshiplist2000:5361630008,Geotab,"Software Developer Intern, MyAdmin (Winter/January 2027, 8+ Months)",Winter 2027,False,,Internship,,Software,"Oakville, Ontario - Canada; Waterloo, Ontario - Canada",unknown,,,C#; TypeScript; JavaScript; SQL; React; Angular; HTML/CSS; .NET,2026-09-02T10:14:57-04:00,exact,2026-09-03T19:49:36Z,https://job-boards.greenhouse.io/internshiplist2000/jobs/5361630008
greenhouse:internshiplist2000:5389341008,Geotab,"Software Developer Intern (Winter/January 2027, 12 Months)",Winter 2027,False,,Internship,,Software,"Oakville, Ontario - Canada",unknown,,,C#; TypeScript; JavaScript; SQL; HTML/CSS; .NET; Linux; Git,2026-09-02T09:20:33-04:00,exact,2026-09-03T19:49:36Z,https://job-boards.greenhouse.io/internshiplist2000/jobs/5389341008
