id,company,title,season,season_inferred,seasons,program,remote,category,location,region,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
workday:leidos:/job/Melbourne-Victoria-Australia/Intern-Software-Developer_R-00190834,Leidos,Intern Software Developer,Not stated,True,,Internship,,Software,"Melbourne, Victoria, Australia",IEC countries,unknown,79,,,2026-09-22T00:00:00Z,date_only,2026-09-22T07:03:30Z,https://leidos.wd5.myworkdayjobs.com/External/job/Melbourne-Victoria-Australia/Intern-Software-Developer_R-00190834
workday:nvidia:/job/Taiwan-Taipei/System-Software-Engineer---USB--RDSS-Intern-_JR2025914-1,NVIDIA,System Software Engineer - USB (RDSS Intern),Not stated,True,,Internship,,Software,"Taiwan, Taipei",IEC countries,unknown,1526,,C++; Linux,2026-09-22T00:00:00Z,date_only,2026-09-22T07:03:30Z,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Taiwan-Taipei/System-Software-Engineer---USB--RDSS-Intern-_JR2025914-1
workday:wexinc:/job/Melbourne-Australia/Software-Development-Intern_R22903,Wex,Software Engineering Intern,Not stated,True,,Internship,,Software,"Melbourne, Australia",IEC countries,unknown,22,,Python; Java; C#; TypeScript; JavaScript; LLMs,2026-09-22T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://wexinc.wd5.myworkdayjobs.com/WEXInc/job/Melbourne-Australia/Software-Development-Intern_R22903
amazon:amazon:10555867,Amazon,2027 Software Dev Engineer Intern - Italy,Summer 2027,False,,Internship,,Software,"Turin, International",IEC countries,unknown,23139,,Python; Java; C++; C#; Rust; TypeScript; SQL; LLMs,2026-09-22T00:00:00Z,date_only,2026-09-22T12:51:26Z,https://www.amazon.jobs/en/jobs/10555867/2027-software-dev-engineer-intern-italy
amazon:amazon:10555873,Amazon,2027 Software Dev Engineer Intern - Poland,Summer 2027,False,,Internship,,Software,"Gdansk, International",IEC countries,unknown,23139,,Python; Java; C++; C#; Rust; TypeScript; SQL; LLMs,2026-09-22T00:00:00Z,date_only,2026-09-22T12:51:26Z,https://www.amazon.jobs/en/jobs/10555873/2027-software-dev-engineer-intern-poland
amazon:amazon:10555855,Amazon,2027 Software Dev Engineer Intern - Spain,Summer 2027,False,,Internship,,Software,"Madrid, International",IEC countries,unknown,23139,,Python; Java; C++; C#; Rust; TypeScript; SQL; LLMs,2026-09-22T00:00:00Z,date_only,2026-09-22T12:51:26Z,https://www.amazon.jobs/en/jobs/10555855/2027-software-dev-engineer-intern-spain
oracle:jpmc.fa.oraclecloud.com:210792010,JPMorganChase,2027 Quantitative Research – Asset Management - Summer Analyst Internship - London,Summer 2027,False,,Internship,,Quant,"LONDON, LONDON, United Kingdom",IEC countries,unknown,4656,,Python; Java; C++; SQL; MATLAB; Tableau,2026-09-22,date_only,2026-09-22T12:51:26Z,https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/210792010
workday:brevanhoward:/job/London/AI---Quantitative-Analyst--London_JR101605,Brevan Howard,"2027 Summer Internship Program - AI & Quantitative Analyst, London",Summer 2027,False,,Internship,,Quant,London,IEC countries,unknown,,,Python; LLMs,2026-09-22T00:00:00Z,date_only,2026-09-22T12:51:26Z,https://wd3.myworkdaysite.com/recruiting/brevanhoward/BH_ExternalCareers/job/London/AI---Quantitative-Analyst--London_JR101605
smartrecruiters:Sia:744000150967979,Sia Partners,Final Year Internship Consultant - Data Analyst,Not stated,True,,Internship,,Data & ML/AI,"Paris, IDF, International (FR)",IEC countries,unknown,,,Python; SQL; Tableau,2026-09-22T08:41:59.113Z,exact,2026-09-22T12:51:26Z,https://jobs.smartrecruiters.com/Sia/744000150967979
workday:soti:/job/Galway-Ireland/Software-Development---QA-Intern-Opportunities-26-27_R10547,SOTI,Software Development & QA Intern Opportunities 26/27,Not stated,True,,Internship,,Software,"Galway, Ireland",IEC countries,unknown,,,C#; JavaScript; SQL; Node.js; Angular; HTML/CSS,2026-09-22T00:00:00Z,date_only,2026-09-22T12:51:26Z,https://soti.wd3.myworkdayjobs.com/Careers/job/Galway-Ireland/Software-Development---QA-Intern-Opportunities-26-27_R10547
amazon:amazon:10554586,Amazon,2027 Software Dev Engineer Intern - United Kingdom,Summer 2027,False,,Internship,,Software,"London, International",IEC countries,unknown,23139,,Python; Java; C++; C#; Rust; TypeScript; SQL; LLMs,2026-09-21T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://www.amazon.jobs/en/jobs/10554586/2027-software-dev-engineer-intern-united-kingdom
oracle:egug.fa.us2.oraclecloud.com:26014306,American Express,Campus - Internship Programme - Undergraduate GMNS Digital Product Management - 2027 (UK),Summer 2027,False,,Internship,,PM,"LONDON, United Kingdom",IEC countries,unknown,133,,,2026-09-21,date_only,2026-09-22T01:54:52Z,https://egug.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/26014306
workday:brookfield:/job/London-England/Summer-MBA-Associate--Investments--Infrastructure-AI_R2052880-1,Brookfield,"2027 Summer MBA Intern, Investments, Infrastructure AI",Summer 2027,False,,Internship,,Data & ML/AI,"London, England",IEC countries,unknown,,,,2026-09-21T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://brookfield.wd5.myworkdayjobs.com/brookfieldprivate/job/London-England/Summer-MBA-Associate--Investments--Infrastructure-AI_R2052880-1
workday:cc:/job/London/Information-Security-Intern---Governance--Risk---Compliance--GRC-_JOBREQ00115341,Chanel,"Information Security Intern – Governance, Risk & Compliance (GRC)",Not stated,True,,Internship,,Security,London,IEC countries,unknown,6,,,2026-09-21T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://cc.wd3.myworkdayjobs.com/ChanelCareers/job/London/Information-Security-Intern---Governance--Risk---Compliance--GRC-_JOBREQ00115341
workday:cibc:/job/Toronto-ON/Cloud-Engineering-Co-op_2619386-1,CIBC,Cloud Engineering Co-op,Not stated,True,,Co-op,,Software,"Toronto, ON",Canada,unknown,,,Python; AWS; GCP; Azure,2026-09-21T00:00:00Z,date_only,2026-09-21T23:05:45Z,https://cibc.wd3.myworkdayjobs.com/campus/job/Toronto-ON/Cloud-Engineering-Co-op_2619386-1
workday:gresearch:/job/London-UK/Software-Engineering-Intern_R3746,G-Research,Software Engineering Internship,Not stated,True,,Internship,,Software,"London, UK",IEC countries,unknown,,,Java; C++; C#,2026-09-21T00:00:00Z,date_only,2026-09-22T01:54:52Z,https://gresearch.wd103.myworkdayjobs.com/G-Research/job/London-UK/Software-Engineering-Intern_R3746
